"version","subjCode","gender","Days","curTrialIndex","audio","audioType","expTimer","trialStart","trialTime","totalTime","lookAways","looking_time","audioStartTime","audioEndTime","subj_exclusion","subj_exclusion_reason","trial_exclusion"
"version3","Bird_110","f",217,8,"starling_1_70dB","birdsong",171721.759019,151576.308461,20145.4505574,17772.9193314,4,15824.3992442,153929.169909,17792.5531806,"no","","no"
"version3","Bird_110","f",217,9,"japanese_1_65dB","forward",187484.022732,172494.589724,14989.4330075,12638.2482629,3,11021.4956737,174829.194615,12654.797663,"no","","no"
"version3","Bird_110","f",217,10,"starling_1_70dB","birdsong",203918.812675,188145.616175,15773.1965007,12641.0370647,2,11400.7429505,191264.214506,12654.5618981,"no","","no"
"version3","Bird_110","f",217,11,"japanese_1_65dB","forward",230954.216087,204942.974991,26011.2410955,23456.4875058,7,20422.1469188,207480.965658,23473.2155261,"no","","no"
"version3","Bird_110","f",217,12,"backjapanese_1_65dB","backward",250064.091798,231899.053245,18165.0385539,13675.7807448,3,11870.8812135,236371.625806,13692.4334845,"no","","no"
"version3","Bird_111","m",242,1,"japanese_1_65dB","forward",29959.2164254,22401.5173135,7557.6991119,5307.83444579,2,3852.83817901,24633.8268999,5325.36078198,"no","","no"
"version3","Bird_111","m",242,2,"starling_1_70dB","birdsong",50975.0212325,30589.5896595,20385.4315731,5501.3225422,6,2786.79695673,45456.2308676,5518.75477773,"no","","no"
"version3","Bird_111","m",242,3,"backjapanese_1_65dB","backward",67140.5692988,51647.0516377,15493.5176611,5244.32949335,2,3620.00436627,61879.4977556,5261.03595603,"no","","no"
"version3","Bird_111","m",242,4,"starling_1_70dB","birdsong",90263.2782896,67851.1033047,22412.1749848,1418.43866793,2,206.467830256,88831.2429296,1431.99908841,"no","","yes"
"version3","Bird_111","m",242,5,"japanese_1_65dB","forward",103242.277414,91074.5571622,12167.7202521,4544.18249099,4,2565.66755704,98679.4674381,4562.7463299,"no","","no"
"version3","Bird_111","m",242,6,"backjapanese_1_65dB","backward",109110.636045,103966.994274,5143.6417714,1973.29080669,2,204.20051727,107116.719397,1993.88174523,"no","","yes"
"version3","Bird_111","m",242,7,"starling_1_70dB","birdsong",117051.410107,109744.540963,7306.86914394,1874.2832095,1,737.814304797,115158.611307,1892.77245227,"no","","yes"
"version3","Bird_111","m",242,8,"backjapanese_1_65dB","backward",139067.158796,117746.50647,21320.6523264,12387.3002414,4,10151.7385357,126665.958687,12401.1723918,"no","","no"
"version3","Bird_111","m",242,9,"japanese_1_65dB","forward",147777.76295,139716.694007,8061.0689426,3893.71551209,1,2723.74402973,143870.526368,3907.19962551,"no","","no"
"version3","Bird_111","m",242,10,"starling_1_70dB","birdsong",176116.521615,148607.169719,27509.3518962,17888.8999528,11,13246.1872117,158210.913488,17905.5715127,"no","","no"
"version3","Bird_111","m",242,11,"backjapanese_1_65dB","backward",184648.094957,176752.806082,7895.28887538,5667.76062979,4,3401.5522163,178959.204449,5688.7310507,"no","","no"
"version3","Bird_111","m",242,12,"japanese_1_65dB","forward",202048.21,185495.667605,16552.5423949,7065.63607606,5,6034.53015699,194965.681997,7082.49481078,"no","","no"
"version3","Bird_112","f",213,1,"starling_1_70dB","birdsong",36250.6472415,25673.9137874,10576.7334542,6354.29348872,2,4747.19528662,29879.881002,6370.13696268,"no","","no"
"version3","Bird_112","f",213,2,"backjapanese_1_65dB","backward",45280.5175332,37043.2972603,8237.22027289,5919.2133731,4,4608.97029223,39340.8918417,5939.59284178,"no","","no"
