subjCode	sex	age	seed	experimenter	inputType	input	gaze	pygazeVersion	trialType	trialID	blockID	image	audio	audioType	audioDur	box	curTrialIndex	expTimer	trialStart	trialTime	totalTime	lookAways	totalLookingTime	totalLookingTimeNS	agScreenTime	startScreenTime	audioStartTime	audioEndTime
Bird_106	m	7	106	cs	gaze	keyboard	yes	04	training	2	2	star1	backjapanese_1_65dB	backward	34250	wp2	5	103085.386168	96012.5120535	7072.87411433	1550.67167811	2	430.182980876	160.157364793	96012.5233457	100482.206638	101520.395007	1564.95694266
Bird_106	m	7	106	cs	gaze	keyboard	yes	04	training	1	2	star1	japanese_1_65dB	forward	34250	wp3	6	140754.157396	103791.348291	36962.8091057	34257.6165607	11	31005.9896345	29496.2800893	103791.35753	105431.162319	106483.306426	34270.8170937
Bird_106	m	7	106	cs	gaze	keyboard	yes	04	training	3	3	star1	starling_1_70dB	birdsong	34250	wp12	7	146555.402066	141734.696217	4820.70584886	2737.86862908	1	1732.28072168	1600.62613306	141734.764996	142784.680442	143802.906328	2752.46220378
Bird_106	m	7	106	cs	gaze	keyboard	yes	04	training	1	3	star1	japanese_1_65dB	forward	34250	wp6	8	162293.671395	147370.704788	14922.9666074	12577.4785774	4	10819.1444513	10700.7485674	147370.714027	148665.805497	149699.501297	12594.1314311
Bird_106	m	7	106	cs	gaze	keyboard	yes	04	training	2	3	star1	backjapanese_1_65dB	backward	34250	wp4	9	175162.662855	163108.31096	12054.3518951	9229.25100141	3	7793.37677279	7979.1002682	163108.321226	164896.654168	165918.986293	9243.64405475
Bird_106	m	7	106	cs	gaze	keyboard	yes	04	training	3	4	star1	starling_1_70dB	birdsong	34250	wp11	10	199121.130639	175795.410388	23325.7202515	18333.8331539	8	14530.2356092	13887.0014256	175795.419627	179743.243696	180770.349667	18350.7453851
Bird_106	m	7	106	cs	gaze	keyboard	yes	04	training	1	4	star1	japanese_1_65dB	forward	34250	wp5	11	206094.649502	199781.364654	6313.28484777	3501.9453309	1	2500.88078834	2334.76800774	199781.373209	201529.312732	202574.403346	3520.20851484
Bird_106	m	7	106	cs	gaze	keyboard	yes	04	training	2	4	star1	backjapanese_1_65dB	backward	34250	wp1	12	220639.451653	206804.866373	13834.5852801	11753.67286	6	9468.69060923	9402.40461376	206804.878691	207848.753859	208868.914468	11770.502282
Bird_107	m	6.7	107	cs	gaze	keyboard	yes	04	training	3	1	star1	starling_1_70dB	birdsong	34250	wp5	1	45399.9466877	24026.8953416	21373.0513461	19204.2289185	7	16517.7029033	15849.0892081	24026.9059493	25122.8095929	26178.7129218	19221.0585676
Bird_107	m	6.7	107	cs	gaze	keyboard	yes	04	training	2	1	star1	backjapanese_1_65dB	backward	34250	wp1	2	78375.4572437	46160.2643989	32215.1928448	30123.8447003	7	26249.8263414	25349.3632977	46160.2760332	47205.594576	48230.227053	30145.1993942
Bird_107	m	6.7	107	cs	gaze	keyboard	yes	04	training	1	1	star1	japanese_1_65dB	forward	34250	wp8	3	102947.286855	79346.0680632	23601.2187919	21012.287495	5	18078.2445399	19065.6083591	79346.0903052	80894.8621716	81918.2241184	21029.0326245
Bird_107	m	6.7	107	cs	gaze	keyboard	yes	04	training	3	2	star1	starling_1_70dB	birdsong	34250	wp6	4	117510.389399	103754.463281	13755.9261183	11236.8082831	3	9789.26615846	9536.28658892	103754.473546	105244.415039	106258.456913	11251.895872
Bird_107	m	6.7	107	cs	gaze	keyboard	yes	04	training	1	2	star1	japanese_1_65dB	forward	34250	wp12	5	129920.55542	118279.547783	11641.0076369	9272.82625731	4	7274.88381133	6830.31561025	118279.570367	119572.366499	120626.65985	9293.85758702
Bird_107	m	6.7	107	cs	gaze	keyboard	yes	04	training	2	2	star1	backjapanese_1_65dB	backward	34250	wp3	6	142972.818935	130745.649298	12227.1696365	9543.56484837	3	7737.12890972	7759.45061632	130745.660932	132390.553045	133412.81658	9559.96642487
Bird_107	m	6.7	107	cs	gaze	keyboard	yes	04	training	3	3	star1	starling_1_70dB	birdsong	34250	wp11	7	150045.580998	143593.017662	6452.5633366	3694.62859661	2	2656.46546918	2361.714439	143593.028269	145313.776133	146333.911283	3711.63720802
Bird_107	m	6.7	107	cs	gaze	keyboard	yes	04	training	1	3	star1	japanese_1_65dB	forward	34250	wp7	8	157808.669033	150746.669692	7061.99934163	4331.62412289	2	3232.04576234	3009.05522237	150746.679273	152435.843529	153457.530826	4351.11049062
Bird_107	m	6.7	107	cs	gaze	keyboard	yes	04	training	2	3	star1	backjapanese_1_65dB	backward	34250	wp10	9	169105.211056	158533.494365	10571.7166906	7774.05367228	3	5532.30322179	5099.95202576	158533.505315	160293.858614	161314.379747	7790.79401122
Bird_107	m	6.7	107	cs	gaze	keyboard	yes	04	training	1	4	star1	japanese_1_65dB	forward	34250	wp9	10	182799.200794	169740.849821	13058.3509729	10127.9502272	6	7077.10985689	7569.79327278	169740.85906	171630.114543	172653.506944	10145.655868
Bird_107	m	6.7	107	cs	gaze	keyboard	yes	04	training	3	4	star1	starling_1_70dB	birdsong	34250	wp4	11	189786.905087	183447.402856	6339.50223138	3793.4206177	2	2424.62399081	2156.05313709	183447.413121	184954.753658	185976.892296	3809.97788806
Bird_107	m	6.7	107	cs	gaze	keyboard	yes	04	training	2	4	star1	backjapanese_1_65dB	backward	34250	wp2	12	198932.167101	190509.33992	8422.8271812	6285.8405517	3	3766.96053453	3396.73563048	190509.349501	191613.500812	192629.700158	6302.43512015
